GK;Miguel Ângelo dos Reis;140.0;347.0
DL;Raúl Calero;114.0;405.0
DR;Juan José Flores;116.0;387.0
DC;Marcelo Viera;134.0;384.0
DC;Óscar Rey;141.0;404.0
DM;Leonardo Sanz;128.0;426.0
ML;Francisco Javier Peralta;109.0;343.0
MR;Ramón Molina;131.0;390.0
AM;Pablo De Dios;128.0;382.0
ST;Ismael Trenado;121.0;372.0
ST;Pedro Escalada;126.0;394.0



GK;Ángel Cacho;113.0;317.0
DL;José Antonio Lozano;71.0;252.0
DR;Manuel Martínez Jiménez;75.0;252.0
DC;Miguel Ángel Quintana;111.0;372.0
DC;José Luis Sarabia;121.0;370.0
DM;Iván Lafuente;119.0;412.0
ML;Francisco Benito;85.0;308.0
MR;Andrés Obregón;114.0;375.0
AM;Andoni Salazar;88.0;319.0
ST;Pedro González Pérez;99.0;290.0
ST;Ricardo Moreira;111.0;328.0
